HOLE:	M0065A		
EXPEDITION:	347		
TOP:	14.825		
BOTTOM:	40.9		
DEPTH_WSF 	RILD       	RILM       	VEC0       
m	ohmm	ohmm	ohmm
14.825	7.4125	25.5754	0.9611
14.85	5.6071	7.1991	1.0349
14.875	4.1065	3.6094	1.1397
14.9	2.9348	2.1291	1.3058
14.925	2.3482	1.5731	1.5143
14.95	1.9999	1.2799	1.7746
14.975	1.8045	1.1142	2.0294
15	1.7554	1.0255	2.0916
15.025	1.8345	1.0301	1.9449
15.05	1.9245	1.047	1.7629
15.075	2.0022	1.1058	1.5995
15.1	2.0876	1.1945	1.4785
15.125	2.1097	1.321	1.434
15.15	2.1337	1.4609	1.4148
15.175	2.1475	1.5903	1.4118
15.2	2.1813	1.6453	1.4127
15.225	2.1819	1.654	1.4241
15.25	2.173	1.6236	1.4353
15.275	2.1599	1.5744	1.4437
15.3	2.1452	1.532	1.4523
15.325	2.1386	1.5053	1.457
15.35	2.1409	1.4888	1.4608
15.375	2.1501	1.4749	1.4597
15.4	2.1792	1.4559	1.4488
15.425	2.1855	1.4513	1.4498
15.45	2.1773	1.4591	1.4615
15.475	2.1186	1.4935	1.5005
15.5	2.0464	1.5443	1.5563
15.525	1.954	1.6206	1.6389
15.55	1.8812	1.6955	1.7207
15.575	1.8262	1.7636	1.795
15.6	1.8071	1.7963	1.8304
15.625	1.7987	1.8161	1.8531
15.65	1.8006	1.8221	1.8591
15.675	1.809	1.8203	1.8573
15.7	1.8165	1.8191	1.8549
15.725	1.823	1.818	1.8529
15.75	1.8289	1.8177	1.8512
15.775	1.8326	1.8181	1.8517
15.8	1.8362	1.8199	1.8519
15.825	1.8382	1.8204	1.8516
15.85	1.8401	1.8225	1.8536
15.875	1.8432	1.824	1.8541
15.9	1.8466	1.8252	1.8546
15.925	1.849	1.8265	1.8566
15.95	1.8511	1.8279	1.8591
15.975	1.8554	1.8308	1.862
16	1.8593	1.8355	1.8665
16.025	1.8627	1.8396	1.8702
16.05	1.8668	1.8423	1.8714
16.075	1.8696	1.8447	1.8746
16.1	1.8716	1.8463	1.8763
16.125	1.8728	1.8468	1.8772
16.15	1.8761	1.8493	1.8787
16.175	1.878	1.8516	1.8812
16.2	1.8829	1.8555	1.8836
16.225	1.8889	1.8604	1.8885
16.25	1.8936	1.8657	1.8949
16.275	1.8952	1.868	1.8969
16.3	1.8983	1.8717	1.8993
16.325	1.9013	1.8756	1.9021
16.35	1.9027	1.8773	1.9032
16.375	1.9052	1.8794	1.9056
16.4	1.9093	1.8835	1.9115
16.425	1.9126	1.8869	1.9168
16.45	1.916	1.8906	1.9203
16.475	1.919	1.8943	1.9247
16.5	1.9235	1.8988	1.9272
16.525	1.9274	1.9022	1.9293
16.55	1.9308	1.9055	1.9311
16.575	1.9326	1.9061	1.9323
16.6	1.9342	1.9072	1.9311
16.625	1.9334	1.9064	1.9296
16.65	1.932	1.9041	1.9274
16.675	1.9315	1.9016	1.9248
16.7	1.9338	1.9036	1.9267
16.725	1.9368	1.9059	1.9304
16.75	1.9393	1.9069	1.9309
16.775	1.9424	1.9094	1.9324
16.8	1.9457	1.9121	1.9346
16.825	1.9478	1.9131	1.9356
16.85	1.9507	1.9152	1.9366
16.875	1.9538	1.9166	1.938
16.9	1.9568	1.9183	1.9392
16.925	1.961	1.9212	1.9409
16.95	1.9654	1.9223	1.9415
16.975	1.9712	1.9248	1.9426
17	1.978	1.9292	1.9459
17.025	1.9833	1.9328	1.9499
17.05	1.9881	1.9354	1.9514
17.075	1.9921	1.9396	1.9536
17.1	1.9945	1.9408	1.9541
17.125	1.9966	1.9429	1.9551
17.15	2.0025	1.9485	1.9569
17.175	2.0085	1.9548	1.9633
17.2	2.0154	1.9623	1.9687
17.225	2.0236	1.9713	1.9762
17.25	2.0309	1.9799	1.9847
17.275	2.0362	1.9856	1.9909
17.3	2.0417	1.9918	1.9961
17.325	2.048	1.9983	2.0041
17.35	2.0519	2.0039	2.0116
17.375	2.0569	2.0095	2.0173
17.4	2.0629	2.0154	2.0242
17.425	2.0689	2.0213	2.0321
17.45	2.0745	2.0282	2.0397
17.475	2.0795	2.0335	2.0454
17.5	2.0864	2.0406	2.0511
17.525	2.0924	2.0468	2.0559
17.55	2.1003	2.054	2.0599
17.575	2.1053	2.058	2.0625
17.6	2.1116	2.0643	2.0666
17.625	2.1146	2.0666	2.0678
17.65	2.1185	2.0704	2.0717
17.675	2.1199	2.0719	2.0729
17.7	2.1234	2.0749	2.0749
17.725	2.1246	2.0743	2.0745
17.75	2.1256	2.0765	2.0783
