HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	38.65
DEPTH_WSF	GRGC       
m	gAPI
0	17.2318
0.025	15.6472
0.05	13.7449
0.075	12.9667
0.1	12.9045
0.125	14.0476
0.15	14.2499
0.175	14.0886
0.2	14.1396
0.225	15.2429
0.25	16.8746
0.275	18.6909
0.3	19.4324
0.325	18.8599
0.35	16.7743
0.375	15.8854
0.4	15.73
0.425	16.9266
0.45	17.7238
0.475	18.7491
0.5	18.0271
0.525	18.0859
0.55	17.5491
0.575	17.7785
0.6	16.8198
0.625	16.5955
0.65	15.3622
0.675	14.6803
0.7	14.9158
0.725	16.7516
0.75	17.853
0.775	17.6774
0.8	16.5835
0.825	14.9393
0.85	12.8908
0.875	11.2095
0.9	10.1397
0.925	10.8608
0.95	11.4229
0.975	12.1368
1	12.5057
1.025	14.1107
1.05	15.2586
1.075	16.0222
1.1	16.0763
1.125	16.0595
1.15	15.7454
1.175	15.0153
1.2	14.2775
1.225	13.3556
1.25	13.0332
1.275	13.0331
1.3	12.4824
1.325	12.8497
1.35	13.0334
1.375	13.9505
1.4	12.8728
1.425	12.331
1.45	11.1043
1.475	12.3403
1.5	13.2569
1.525	15.0186
1.55	15.2036
1.575	15.5313
1.6	14.8642
1.625	14.4876
1.65	14.1511
1.675	15.2226
1.7	15.6033
1.725	15.7689
1.75	14.4955
1.775	13.597
1.8	12.8816
1.825	12.9953
1.85	12.9206
1.875	14.0645
1.9	15.7303
1.925	17.0989
1.95	17.2563
1.975	17.3333
2	16.7101
2.025	15.4113
2.05	13.1104
2.075	11.874
2.1	10.9388
2.125	10.4176
2.15	10.235
2.175	11.8353
2.2	13.2523
2.225	13.7503
2.25	13.7514
2.275	13.714
2.3	13.9282
2.325	13.9579
2.35	14.3932
2.375	14.8985
2.4	16.1754
2.425	16.1667
2.45	16.0204
2.475	15.2336
2.5	15.5934
2.525	15.2195
2.55	15.213
2.575	15.7123
2.6	16.9966
2.625	16.4825
2.65	15.0202
2.675	12.8241
2.7	10.8264
2.725	9.5939
2.75	9.9763
2.775	11.2611
2.8	12.362
2.825	13.2645
2.85	13.2645
2.875	12.7139
2.9	11.6204
2.925	12.1189
2.95	12.6497
2.975	13.1728
3	13.6895
3.025	15.4966
3.05	16.8131
3.075	16.8564
3.1	15.944
3.125	14.8243
3.15	12.8407
3.175	10.6736
3.2	9.7402
3.225	11.56
3.25	13.2263
3.275	14.6867
3.3	14.8631
3.325	15.2302
3.35	13.7775
3.375	12.1189
3.4	11.0111
3.425	11.7601
3.45	13.2651
3.475	15.307
3.5	17.8699
3.525	19.332
3.55	20.5872
3.575	20.7714
3.6	20.5502
3.625	19.4628
3.65	19.476
3.675	19.344
3.7	19.6437
3.725	19.4298
3.75	19.3999
3.775	17.7855
3.8	16.0819
3.825	14.2618
3.85	14.2104
3.875	14.7627
3.9	15.8145
3.925	16.2068
3.95	16.3545
3.975	16.0021
4	15.2738
4.025	14.9567
4.05	14.6021
4.075	13.9191
4.1	12.7012
4.125	12.3718
4.15	12.5545
4.175	13.779
4.2	15.5765
4.225	18.1105
4.25	20.255
4.275	21.2763
4.3	21.4528
4.325	20.2425
4.35	19.5821
4.375	18.8701
4.4	18.892
4.425	18.5478
4.45	19.0465
4.475	18.0764
4.5	16.9817
4.525	15.1832
4.55	13.7522
4.575	12.1302
4.6	10.6911
4.625	9.6514
4.65	9.4622
4.675	10.7637
4.7	12.4004
4.725	14.2583
4.75	15.1656
4.775	16.11
4.8	16.4815
4.825	16.5186
4.85	16.5182
4.875	17.002
4.9	18.4035
4.925	18.6819
4.95	19.5767
4.975	19.5541
5	20.3029
5.025	19.0333
5.05	18.8869
5.075	18.843
5.1	20.8174
5.125	22.2708
5.15	24.1575
5.175	24.3931
5.2	24.2028
5.225	22.7285
5.25	21.3777
5.275	19.7078
5.3	19.689
5.325	20.171
5.35	20.0461
5.375	18.8799
5.4	17.4152
5.425	16.3326
5.45	15.5572
5.475	15.8873
5.5	17.318
5.525	19.6666
5.55	21.6107
5.575	21.7442
5.6	21.6718
5.625	20.9402
5.65	20.7347
5.675	18.944
5.7	17.6791
5.725	16.4894
5.75	15.2551
5.775	13.6783
5.8	13.5261
5.825	14.6147
5.85	15.3352
5.875	16.3919
5.9	18.0427
5.925	20.0598
5.95	21.32
5.975	21.8467
6	22.0075
6.025	20.5642
6.05	18.7014
6.075	17.2725
6.1	16.9198
6.125	16.8031
6.15	17.4528
6.175	18.3386
6.2	19.1649
6.225	19.8922
6.25	20.0163
6.275	19.5499
6.3	17.9371
6.325	16.4324
6.35	15.3945
6.375	15.8701
6.4	17.6832
6.425	20.2745
6.45	21.5323
6.475	21.3441
6.5	20.5609
6.525	18.3564
6.55	16.153
6.575	13.9496
6.6	14.0142
6.625	13.674
6.65	14.6196
6.675	14.5833
6.7	16.6025
6.725	17.7482
6.75	19.1149
6.775	19.1525
6.8	20.7958
6.825	21.8003
6.85	22.3735
6.875	22.2133
6.9	23.0137
6.925	24.1069
6.95	25.2511
6.975	25.6689
7	25.8431
7.025	24.7823
7.05	23.1718
7.075	20.7045
7.1	18.3201
7.125	17.9165
7.15	18.6051
7.175	19.6615
7.2	20.939
7.225	22.5924
7.25	22.6464
7.275	22.4757
7.3	21.9365
7.325	22.2618
7.35	22.444
7.375	22.4877
7.4	22.2962
7.425	21.4358
7.45	20.3484
7.475	19.2682
7.5	18.8572
7.525	19.232
7.55	20.3202
7.575	19.9392
7.6	19.5503
7.625	18.8596
7.65	18.9042
7.675	17.8035
7.7	17.04
7.725	16.8271
7.75	18.082
7.775	18.8162
7.8	20.379
7.825	21.8363
7.85	24.0304
7.875	24.2942
7.9	24.6634
7.925	23.8343
7.95	22.7743
7.975	19.8757
8	17.4795
8.025	15.8654
8.05	15.5393
8.075	16.6399
8.1	17.7813
8.125	19.4329
8.15	19.8015
8.175	20.4965
8.2	20.6818
8.225	21.5597
8.25	23.3576
8.275	24.2362
8.3	24.5371
8.325	23.1838
8.35	22.2389
8.375	20.3666
8.4	19.9632
8.425	19.9539
8.45	21.3068
8.475	21.8845
8.5	22.1031
8.525	21.2197
8.55	19.4587
8.575	17.8065
8.6	16.7057
8.625	16.8896
8.65	18.1071
8.675	18.9577
8.7	20.0859
8.725	21.2809
8.75	22.4757
8.775	22.542
8.8	22.0578
8.825	21.2972
8.85	20.6539
8.875	19.7674
8.9	19.1982
8.925	19.7298
8.95	21.2371
8.975	23.254
9	24.8702
9.025	26.6302
9.05	28.208
9.075	27.8005
9.1	26.3329
9.125	24.5907
9.15	23.5851
9.175	22.7624
9.2	22.9483
9.225	23.4994
9.25	24.3305
9.275	24.7925
9.3	24.8873
9.325	24.1513
9.35	22.8668
9.375	21.6025
9.4	20.1551
9.425	18.8903
9.45	18.7068
9.475	19.9906
9.5	22.0753
9.525	24.7098
9.55	26.468
9.575	27.3669
9.6	26.7976
9.625	25.0428
9.65	22.2871
9.675	19.9986
9.7	19.3615
9.725	19.1892
9.75	18.8189
9.775	18.2677
9.8	19.2725
9.825	20.1115
9.85	21.1534
9.875	20.8263
9.9	20.2137
9.925	17.9717
9.95	15.7701
9.975	13.9423
10	14.6839
10.025	17.4444
10.05	22.402
10.075	26.0747
10.1	29.2574
10.125	30.4192
10.15	31.2138
10.175	30.9156
10.2	30.9844
10.225	31.0524
10.25	30.8679
10.275	30.2136
10.3	29.0395
10.325	28.1144
10.35	26.6744
10.375	26.1222
10.4	25.5323
10.425	25.2754
10.45	24.586
10.475	24.8536
10.5	25.4052
10.525	27.0149
10.55	28.007
10.575	29.3
10.6	29.3139
10.625	28.7774
10.65	26.8393
10.675	25.5546
10.7	24.7772
10.725	24.4701
10.75	24.8977
10.775	24.6347
10.8	24.452
10.825	22.91
10.85	21.9171
10.875	20.5572
10.9	19.8216
10.925	18.9035
10.95	19.0866
10.975	19.6377
11	20.8487
11.025	23.7118
11.05	26.7579
11.075	29.3282
11.1	30.6137
11.125	31.6082
11.15	32.602
11.175	34.5136
11.2	35.7985
11.225	37.0834
11.25	36.6328
11.275	34.5297
11.3	30.0405
11.325	25.6347
11.35	21.78
11.375	19.8427
11.4	19.3742
11.425	21.8426
11.45	25.5142
11.475	28.7357
11.5	30.673
11.525	30.5467
11.55	28.8508
11.575	26.0529
11.6	24.5852
11.625	23.1167
11.65	22.2436
11.675	20.6354
11.7	20.9505
11.725	22.4041
11.75	26.2439
11.775	29.5621
11.8	32.1805
11.825	32.7953
11.85	31.7432
11.875	29.1712
11.9	26.7752
11.925	25.8141
11.95	25.7196
11.975	25.6996
12	26.0014
12.025	27.5374
12.05	29.2688
12.075	30.5757
12.1	31.0013
12.125	31.4291
12.15	31.8052
12.175	31.5369
12.2	30.1734
12.225	28.1633
12.25	26.2469
12.275	25.1456
12.3	24.5273
12.325	25.0111
12.35	25.8613
12.375	26.6974
12.4	26.7993
12.425	26.9687
12.45	26.6685
12.475	26.9188
12.5	26.8168
12.525	27.1689
12.55	26.787
12.575	26.8733
12.6	27.2416
12.625	26.8754
12.65	26.1426
12.675	24.8574
12.7	24.6739
12.725	24.0405
12.75	24.8759
12.775	25.4407
12.8	27.1888
12.825	29.6728
12.85	32.6043
12.875	34.8023
12.9	35.2497
12.925	37.173
12.95	37.9936
12.975	39.3686
13	39.0098
13.025	39.2997
13.05	36.7455
13.075	34.0888
13.1	31.1496
13.125	31.1093
13.15	31.6198
13.175	33.6795
13.2	34.3088
13.225	33.425
13.25	31.2966
13.275	28.8012
13.3	26.2717
