HOLE:	M0065A
EXPEDITION:	347
TOP:	0
BOTTOM:	43.475
DEPTH_WSF    	SMTU       
m	lb
0	296.7775
0.025	296.7762
0.05	296.7712
0.075	296.7462
0.1	296.4537
0.125	296.345
0.15	295.5963
0.175	294.8763
0.2	294.8625
0.225	294.435
0.25	293.9037
0.275	293.735
0.3	292.7087
0.325	292.7175
0.35	292.7313
0.375	292.5688
0.4	292.4413
0.425	292.58
0.45	292.1313
0.475	292.75
0.5	292.7412
0.525	292.7387
0.55	292.73
0.575	292.7288
0.6	292.125
0.625	291.7888
0.65	291.7925
0.675	291.7662
0.7	292.4088
0.725	293.4962
0.75	292.9813
0.775	293.45
0.8	293.9113
0.825	295.1225
0.85	295.845
0.875	295.8375
0.9	295.8612
0.925	296.78
0.95	296.7275
0.975	295.845
1	295.1462
1.025	295.8325
1.05	295.8525
1.075	295.855
1.1	295.8588
1.125	295.6162
1.15	294.8737
1.175	294.865
1.2	294.8725
1.225	294.875
1.25	294.87
1.275	294.8737
1.3	294.29
1.325	294.5575
1.35	294.8412
1.375	294.8412
1.4	293.9088
1.425	293.9125
1.45	293.81
1.475	292.72
1.5	293.8325
1.525	293.8725
1.55	293.8825
1.575	293.8975
1.6	293.8825
1.625	294.6575
1.65	295.4513
1.675	295.8825
1.7	297.4612
1.725	296.95
1.75	297.705
1.775	297.7375
1.8	297.7213
1.825	297.325
1.85	297.73
1.875	297.73
1.9	297.7362
1.925	297.7325
1.95	297.71
1.975	297.7362
2	297.735
2.025	297.89
2.05	298.9788
2.075	297.9413
2.1	298.9463
2.125	298.9575
2.15	298.9612
2.175	298.955
2.2	298.5975
2.225	298.5975
2.25	297.7425
2.275	297.735
2.3	296.7638
2.325	295.87
2.35	295.0925
2.375	294.8737
2.4	294.5688
2.425	293.9075
2.45	293.8987
2.475	293.9025
2.5	293.9037
2.525	293.8962
2.55	293.8975
2.575	293.8912
2.6	293.8687
2.625	292.7412
2.65	292.7275
2.675	292.7238
2.7	293.1
2.725	293.8825
2.75	293.885
2.775	293.8775
2.8	293.89
2.825	293.9213
2.85	294.2787
2.875	294.86
2.9	295.8513
2.925	295.9463
2.95	296.46
2.975	296.46
3	296.1475
3.025	296.7425
3.05	296.7575
3.075	296.745
3.1	297.7275
3.125	297.8737
3.15	298.97
3.175	298.9587
3.2	297.7338
3.225	297.7412
3.25	297.7638
3.275	297.7638
3.3	298.9375
3.325	298.9625
3.35	298.9537
3.375	298.7238
3.4	297.715
3.425	297.715
3.45	298.2362
3.475	298.9688
3.5	299.3875
3.525	299.93
3.55	299.0713
3.575	299.9287
3.6	299.9225
3.625	299.925
3.65	299.925
3.675	299.925
3.7	300.0375
3.725	300.8737
3.75	300.8588
3.775	300.8575
3.8	301.375
3.825	301.82
3.85	301.3838
3.875	301.8275
3.9	301.8287
3.925	301.835
3.95	302.315
3.975	302.315
4	302.8075
4.025	303.3138
4.05	304.0237
4.075	304.0025
4.1	304.0212
4.125	304.0413
4.15	304.0363
4.175	304.4725
4.2	304.9475
4.225	304.1363
4.25	304.4587
4.275	304.135
4.3	304.0262
4.325	304.0125
4.35	304.0175
4.375	303.95
4.4	302.795
4.425	303.2875
4.45	303.2875
4.475	302.7987
4.5	302.8075
4.525	302.8138
4.55	302.5287
4.575	301.825
4.6	301.825
4.625	301.8287
4.65	301.7925
4.675	300.8575
4.7	300.85
4.725	300.8513
4.75	300.855
4.775	299.9088
4.8	299.9337
4.825	299.9237
4.85	299.91
4.875	299.9362
4.9	299.8763
4.925	299.5688
4.95	299.9262
4.975	299.92
5	300.74
5.025	300.8513
5.05	300.455
5.075	299.9488
5.1	299.9587
5.125	299.36
5.15	299.7137
5.175	299.3612
5.2	298.9825
5.225	298.98
5.25	298.9775
5.275	298.9725
5.3	299.3375
5.325	299.625
5.35	299.935
5.375	299.9375
5.4	299.9375
5.425	299.95
5.45	299.9362
5.475	300.86
5.5	300.8863
5.525	300.8588
5.55	300.8588
5.575	300.8662
5.6	300.8825
5.625	300.8763
5.65	300.8737
5.675	300.8813
5.7	300.8875
5.725	300.8813
5.75	300.8737
5.775	300.87
5.8	300.8863
5.825	301.4237
5.85	301.895
5.875	302.8125
5.9	302.8087
5.925	303.4188
5.95	304.4125
5.975	304.0187
6	304.84
6.025	305.4125
6.05	305.4813
6.075	305.19
6.1	305.1325
6.125	304.9713
6.15	304.4262
6.175	304.9675
6.2	304.62
6.225	304.9763
6.25	304.9725
6.275	304.9775
6.3	304.9413
6.325	304.9413
6.35	305.4
6.375	304.9675
6.4	304.945
6.425	304.9413
6.45	304.9475
6.475	304.0175
6.5	304.0363
6.525	304.0325
6.55	304.0088
6.575	302.83
6.6	302.8087
6.625	302.6487
6.65	301.845
6.675	301.8375
6.7	301.5225
6.725	300.8825
6.75	300.88
6.775	300.8687
6.8	300.8888
6.825	300.8888
6.85	300.8763
6.875	300.8763
6.9	300.8925
6.925	300.8662
6.95	300.85
6.975	300.8737
7	301.2112
7.025	301.8488
7.05	301.6013
7.075	301.9413
7.1	302.4788
7.125	301.8375
7.15	302.8175
7.175	302.8325
7.2	303.76
7.225	304.0013
7.25	304.3412
7.275	304.9488
7.3	305.7462
7.325	305.925
7.35	306.88
7.375	306.89
7.4	307.6162
7.425	308.875
7.45	310.42
7.475	311.1625
7.5	311.8937
7.525	311.8863
7.55	311.9063
7.575	311.8925
7.6	312.6913
7.625	312.8225
7.65	312.8012
7.675	312.8
7.7	312.6762
7.725	311.895
7.75	311.415
7.775	310.9475
7.8	311.8538
7.825	311.8838
7.85	311.8712
7.875	311.8675
7.9	310.9463
7.925	310.9675
7.95	310.9562
7.975	310.9413
8	311.4138
8.025	311.8563
8.05	310.9425
8.075	311.7538
8.1	311.8825
8.125	312.6
8.15	313.1338
8.175	314.0313
8.2	314.0313
8.225	314.8463
8.25	314.6187
8.275	314.9925
8.3	314.9813
8.325	314.9838
8.35	314.9838
8.375	314.9925
8.4	314.995
8.425	314.1013
8.45	314.0512
8.475	314.07
8.5	314.0587
8.525	314.575
8.55	315.0125
8.575	314.075
8.6	314.51
8.625	314.9962
8.65	315.0075
8.675	315.0013
8.7	314.9813
8.725	315.8975
8.75	315.9287
8.775	315.3987
8.8	315.4225
8.825	314.3575
8.85	314.0275
8.875	314.0413
8.9	313.5225
8.925	312.7925
8.95	312.8112
8.975	312.545
9	311.8087
9.025	310.965
9.05	311.4587
9.075	311.9075
9.1	311.3875
9.125	311.2638
9.15	311.8987
9.175	311.9188
9.2	312.4225
9.225	312.8175
9.25	312.7938
9.275	313.285
9.3	314.0612
9.325	314.7863
9.35	315.0088
9.375	314.9962
9.4	315.1487
9.425	315.9562
9.45	315.3225
9.475	315.02
9.5	315.005
9.525	315.7338
9.55	315.54
9.575	315.955
9.6	315.6638
9.625	314.9987
9.65	314.99
9.675	314.7675
9.7	314.3287
9.725	314.905
9.75	315.6363
9.775	315.95
9.8	316.9075
9.825	317.3488
9.85	318.69
9.875	319.8775
9.9	321.2863
9.925	322.0463
9.95	322.9463
9.975	322.9138
10	323.2925
10.025	322.9213
10.05	322.9225
10.075	322.9138
10.1	322.9312
10.125	322.9413
10.15	323.3012
10.175	322.91
10.2	322.5713
10.225	322.705
10.25	321.9675
10.275	321.97
10.3	322.9287
10.325	322.0262
10.35	322.6837
10.375	321.9662
10.4	321.9513
10.425	321.6075
10.45	321.9587
10.475	321.9738
10.5	321.9688
10.525	321.9875
10.55	321.9662
10.575	321.9625
10.6	321.9675
10.625	321.9612
10.65	321.9725
10.675	321.285
10.7	320.9425
10.725	320.7062
10.75	319.95
10.775	319.0875
10.8	318.4887
10.825	317.195
10.85	316.0338
10.875	315.2987
10.9	315.0038
10.925	314.6563
10.95	314.2075
10.975	314.0725
11	314.8687
11.025	314.6237
11.05	315.5125
11.075	315.9362
11.1	315.9425
11.125	316.5688
11.15	316.8888
11.175	317.8975
11.2	318.1125
11.225	319.0787
11.25	319.085
11.275	319.7
11.3	319.28
11.325	319.3287
11.35	318.6537
11.375	319.0612
11.4	319.8612
11.425	319.97
11.45	320.7425
11.475	320.9337
11.5	320.9388
11.525	320.9537
11.55	320.92
11.575	321.8863
11.6	322.9213
11.625	323.4775
11.65	323.8312
11.675	323.8312
11.7	324.4463
11.725	325.2775
11.75	326.0425
11.775	326.6688
11.8	326.9763
11.825	326.9875
11.85	326.9788
11.875	326.0325
11.9	326.005
11.925	326.005
11.95	326.01
11.975	326.0113
12	325.8813
12.025	325.0325
12.05	325.0212
12.075	325.015
12.1	325.0113
12.125	325.0063
12.15	325.0325
12.175	325.0325
12.2	325.0187
12.225	324.0975
12.25	323.8213
12.275	323.8362
12.3	323.8337
12.325	323.4925
12.35	323.84
12.375	324.2175
12.4	325.1812
12.425	325.7313
12.45	325.0287
12.475	324.5938
12.5	324.5938
12.525	323.8312
12.55	323.8575
12.575	323.8525
12.6	323.8538
12.625	324.3325
12.65	323.81
12.675	323.8275
12.7	323.8175
12.725	323.8175
12.75	323.8312
12.775	323.845
12.8	323.8387
12.825	324.22
12.85	325.035
12.875	325.0063
12.9	325.155
12.925	326.0262
12.95	325.1625
12.975	325.0525
13	324.9612
13.025	323.8263
13.05	323.8575
13.075	323.6063
13.1	322.9075
13.125	321.82
13.15	320.9125
13.175	319.9813
13.2	319.5938
13.225	319.06
13.25	319.065
13.275	318.315
13.3	317.88
13.325	317.8962
13.35	317.8875
13.375	318.1475
13.4	318.1412
13.425	318.1412
13.45	319.0725
13.475	318.4375
13.5	317.9225
